Ticker,Perf_3M,Perf_1M,RSI14,Below_200SMA,Price,SMA200,Rank_3M,Rank_1M,Rank_RSI,Aggregate_Score,Aggregate_Ranking
SLV,69.90%,52.39%,85.64,No,71.12,37.99,1,1,25,27,1
GDXJ,26.39%,21.42%,72.83,No,121.60,79.20,3,3,23,29,2
SLV,69.90%,52.39%,85.64,No,71.12,37.99,2,2,26,30,3
EEM,3.97%,1.76%,56.83,No,54.80,49.49,6,7,19,32,4
GDXJ,26.39%,21.42%,72.83,No,121.60,79.20,4,4,24,32,5
XLF,3.27%,5.86%,69.45,No,55.62,51.74,7,5,22,34,6
EWZ,3.25%,-2.52%,45.93,No,31.73,28.87,8,11,16,35,7
XLI,3.03%,3.48%,58.55,No,157.21,146.26,9,6,20,35,8
XLV,15.17%,-1.71%,60.42,No,156.05,140.23,5,10,21,36,9
FXI,-3.47%,-1.69%,48.80,No,38.93,37.75,21,9,17,47,10
TLT,-1.30%,-2.77%,43.08,Yes,87.74,88.02,11,12,6,2900000,11
TLT,-1.30%,-2.77%,43.08,Yes,87.74,88.02,12,13,7,3200000,12
TLT,-1.30%,-2.77%,43.08,Yes,87.74,88.02,13,14,8,3500000,13
XLP,0.35%,0.22%,48.83,Yes,78.23,80.00,10,8,18,3600000,14
TLT,-1.30%,-2.77%,43.08,Yes,87.74,88.02,14,15,9,3800000,15
TLT,-1.30%,-2.77%,43.08,Yes,87.74,88.02,15,16,10,4100000,16
TLT,-1.30%,-2.77%,43.08,Yes,87.74,88.02,16,17,11,4400000,17
TLT,-1.30%,-2.77%,43.08,Yes,87.74,88.02,17,18,12,4700000,18
XLB,-48.10%,-47.49%,16.79,Yes,46.11,84.37,23,22,4,4900000,19
XLY,-49.08%,-47.71%,16.64,Yes,122.05,212.76,24,23,3,5000000,20
TLT,-1.30%,-2.77%,43.08,Yes,87.74,88.02,18,19,13,5000000,21
XLK,-47.45%,-47.75%,18.21,Yes,146.53,244.57,22,24,5,5100000,22
XLU,-50.72%,-51.83%,10.18,Yes,42.78,80.68,25,26,1,5200000,23
XLE,-51.95%,-50.12%,15.49,Yes,44.20,83.61,26,25,2,5300000,24
TLT,-1.30%,-2.77%,43.08,Yes,87.74,88.02,19,20,14,5300000,25
TLT,-1.30%,-2.77%,43.08,Yes,87.74,88.02,20,21,15,5600000,26
